Nº Borough;Borough;Nº Neighbourhood;Neighbourhood;Población 16-64 años;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7;2020-8;2020-9;2020-10;2020-11;2020-12;2021-1;2021-2;2021-3;;;;
8;Nou Barris;45;Porta;17963;7,0;7,0;7,3;8,3;8,6;8,9;8,7;8,8;8,7;8,8;8,9;8,9;9,1;9,3;9,2;;;;
8;Nou Barris;46;Turó de la Peira;10552;7,4;7,6;7,8;8,9;9,4;9,7;9,4;9,5;9,3;9,6;9,5;9,7;10,1;10,2;10,2;;;;
8;Nou Barris;47;Can Peguera;1411;7,7;7,9;8,2;9,2;9,7;10,0;9,7;9,8;9,6;9,9;9,9;10,1;10,4;10,5;10,5;;;;
8;Nou Barris;48;La Guineueta;9052;9,8;10,0;10,3;11,5;12,0;12,5;12,1;12,1;12,0;12,3;12,4;12,5;12,8;13,1;13,2;;;;
8;Nou Barris;49;Canyelles;4082;10,6;10,8;11,2;12,5;13,0;13,5;13,1;13,1;13,0;13,3;13,4;13,5;13,9;14,2;14,2;;;;
8;Nou Barris;50;Les Roquetes;10915;8,6;8,7;9,1;10,1;10,5;11,0;10,6;10,6;10,5;10,8;10,8;10,9;11,3;11,5;11,5;;;;
8;Nou Barris;51;Verdún;8306;8,6;8,8;9,1;10,2;10,6;11,1;10,7;10,7;10,6;10,9;10,9;11,0;11,3;11,6;11,6;;;;
8;Nou Barris;52;La Prosperitat;16807;8,4;8,4;8,8;10,0;10,4;10,7;10,5;10,6;10,4;10,6;10,7;10,7;11,0;11,2;11,0;;;;
8;Nou Barris;53;La Trinitat Nova;5195;12,2;12,3;12,8;14,1;14,9;15,5;15,1;15,4;15,1;15,6;15,5;15,8;16,4;16,6;16,5;;;;
8;Nou Barris;54;Torre Baró;1985;8,9;8,9;9,3;10,2;10,8;11,2;10,9;11,2;11,0;11,3;11,3;11,5;11,9;12,1;12,0;;;;
8;Nou Barris;55;Ciudad Meridiana;7218;12,7;12,7;13,3;14,6;15,5;16,1;15,7;16,1;15,8;16,3;16,2;16,5;17,1;17,3;17,2;;;;
8;Nou Barris;56;Vallbona;901;11,8;11,9;12,3;13,5;14,4;15,0;14,5;15,0;14,7;15,1;15,0;15,3;15,9;16,1;16,0;;;;
9;Sant Andreu;57;La Trinitat Vella;7009;12,1;12,2;12,7;13,9;14,8;15,4;15,0;15,4;15,1;15,5;15,4;15,7;16,3;16,5;16,4;;;;
9;Sant Andreu;58;Baró de Viver;1755;6,7;6,8;7,3;7,9;8,2;8,3;8,1;8,3;8,1;8,1;8,0;8,0;8,3;8,5;8,3;;;;
9;Sant Andreu;59;El Buen Pastor;9014;7,5;7,5;8,1;8,8;9,1;9,2;9,0;9,2;9,0;9,0;8,9;8,9;9,2;9,4;9,2;;;;
9;Sant Andreu;60;San Andrés;37215;7,3;7,4;7,9;8,6;8,9;9,0;8,8;9,0;8,8;8,9;8,7;8,7;9,0;9,2;9,1;;;;
9;Sant Andreu;61;La Sagrera;18540;6,5;6,6;7,2;8,1;8,4;8,5;8,4;8,6;8,4;8,5;8,5;8,7;8,8;8,8;8,7;;;;
9;Sant Andreu;62;Congrés i els Indians;9638;6,1;6,2;6,8;7,6;7,9;8,0;7,9;8,0;7,9;8,0;8,0;8,1;8,2;8,2;8,1;;;;
9;Sant Andreu;63;Navas;14407;6,3;6,3;6,9;7,8;8,1;8,2;8,1;8,3;8,1;8,2;8,2;8,3;8,5;8,5;8,4;;;;
10;Sant Martí;64;El Camp de l'Arpa del Clot;25714;6,9;7,0;7,6;8,5;8,8;9,0;8,9;9,0;8,8;8,8;8,7;8,8;9,1;9,2;9,0;;;;
10;Sant Martí;65;El Clot;18009;6,7;6,8;7,3;8,2;8,4;8,7;8,6;8,7;8,6;8,6;8,6;8,7;8,8;9,0;8,8;;;;
10;Sant Martí;66;El Parc i la Llacuna del Poblenou;10685;5,6;5,6;5,9;6,6;6,9;7,1;7,0;7,2;7,1;7,1;7,1;7,2;7,3;7,4;7,3;;;;
10;Sant Martí;67;La Vila Olímpica del Poblenou;6471;6,4;6,3;6,6;7,5;7,8;8,1;8,1;8,2;8,0;8,0;8,0;8,0;8,1;8,2;8,1;;;;
10;Sant Martí;68;Poble Nou;23221;6,1;6,0;6,3;7,1;7,4;7,7;7,7;7,8;7,7;7,6;7,6;7,7;7,8;7,9;7,8;;;;
10;Sant Martí;69;Diagonal Mar i Front Marítim del Poblenou;8766;7,2;7,3;7,7;8,7;9,1;9,2;9,1;9,2;9,1;9,2;9,4;9,5;9,8;10,0;10,0;;;;
10;Sant Martí;70;El Besòs i el Maresme;17383;8,3;8,4;8,9;10,0;10,5;10,6;10,5;10,6;10,4;10,6;10,8;11,0;11,3;11,5;11,5;;;;
10;Sant Martí;71;Provençals del Poblenou;14391;6,6;6,7;7,2;7,9;8,2;8,4;8,3;8,4;8,3;8,3;8,4;8,5;8,7;8,8;8,7;;;;
10;Sant Martí;72;Sant Martí de Provençals;16235;8,1;8,2;8,9;9,7;10,0;10,2;10,0;10,2;10,0;10,1;10,0;10,1;10,4;10,6;10,5;;;;
10;Sant Martí;73;La Verneda i la Pau;17602;8,4;8,6;9,3;10,1;10,4;10,6;10,4;10,7;10,5;10,5;10,4;10,5;10,9;11,0;10,9;;;;
